timestamp,category,channel_id,channel_handle,video_id,view_count,like_count,comment_count,subscriber_count
2025-05-31 17:14,Pet,UC5AAf4_zZxk-mCl46TogZQQ,@meow_dad,0HzXiaR0nbg,92279,2190,216,1040000
2025-05-31 17:14,Pet,UC5AAf4_zZxk-mCl46TogZQQ,@meow_dad,3FfdnpNZPnY,1558083,38904,1013,1040000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,WcznsWODtjM,33425,1791,54,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,DGKD0LLzMLM,53529,3133,99,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,xdh_sSnN2Hs,73365,3166,83,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,GiaVQnXRXBg,368694,16105,1854,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,8AnDn2I9LnU,200222,9971,407,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,37-UWih5grg,112429,4798,125,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,qM7y6Z3Ygpo,1249246,19478,975,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,bpwPM6b0suI,349907,4605,17,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,dEXlRnbcxUU,118409,4374,74,404000
2025-05-31 17:14,Pet,UCVvPi6vztLioOiuEg5JYavw,@timon_sns,fb5_T-IZ3-U,116072,4305,72,404000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,YjjqlQXcWn8,115308,2177,152,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,gc5JJ5U20qI,237784,3376,109,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,SQSD3Udfbms,331536,4018,507,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,vFo-mlDDeZU,211628,3240,90,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,mCyRrs9-uVg,410785,4556,993,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,f-MUiV3t12o,346020,3953,186,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,jFnqv3nq778,611981,10745,1151,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,Leo9VKXKBzg,554349,7778,362,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,uqNAYYTNJq8,403533,4354,712,2820000
2025-06-01 01:11,Entertainment,UCUj6rrhMTR9pipbAWBAMvUQ,@ChimChakMan_Official,kSqvA9_2rVI,2763312,32519,421,2820000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,yUZrJUCyAoE,44296,1116,23,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,HqzIDWRzYYg,216710,5027,49,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,0H8Vsc-yHb4,259538,8330,85,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,0I7iDfE9ppA,93114,2815,37,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,0OHf8KxGLow,320668,8989,803,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,WV4dLwKJrTQ,499484,6874,51,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,a7cKhHnEcCE,307368,3844,37,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,er5uRCS9zGw,1831445,32576,266,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,NsbG5khnwx4,999212,17360,163,907000
2025-06-01 01:11,Entertainment,UCoC-ZGuPCvJJrbcz9eMW8zw,@GABEEGIRL,PVL-jPouvrU,977362,21852,194,907000
2025-06-01 01:11,Entertainment,UCu9BCtGIEr73LXZsKmoujKw,@bokyemtv,I1CUkyuQMXc,514160,16704,2003,15800000
2025-06-01 01:11,Entertainment,UCu9BCtGIEr73LXZsKmoujKw,@bokyemtv,ZZL2mWnjcuA,787561,20819,1858,15800000
2025-06-01 01:11,Entertainment,UCu9BCtGIEr73LXZsKmoujKw,@bokyemtv,APtFRlvvpiU,2569679,54778,13542,15800000
2025-06-01 01:11,Entertainment,UCu9BCtGIEr73LXZsKmoujKw,@bokyemtv,UXab36aBjoE,1987120,42759,13754,15800000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,S9D5e8bluGY,14239,154,3,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,lSTEvD7PwTs,10409,112,2,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,Of1ziSMtrNk,9605,150,2,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,VJogDDNNm5s,23910,231,5,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,KZqHqlmvcSI,111472,1844,66,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,dubqoftl-88,129943,1527,13,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,cPG0FBv161w,109538,1512,26,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,7vvTgoB5YMY,37585,253,9,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,X_AWJcPzY_0,147828,1647,139,1820000
2025-06-01 01:11,Entertainment,UCyNHdF4hMxHUFSsPbY24p6A,@미미미누,OxD1pjd3vkA,31056,286,4,1820000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,mAcLX2fqx6A,15951,454,27,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,IWrEv5RFnKM,140429,4878,428,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,iUnWP0eONYs,58709,1152,10,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,WgpFlNVaOOk,74231,1704,12,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,dcXn0vRqh0E,31798,1351,11,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,a1yJbt2QRjg,123351,2013,12,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,9439IHVy-9A,65700,823,43,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,GlZG257zj_k,35760,295,8,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,WZBtXGuBO1U,61270,497,10,7020000
2025-06-01 01:11,Entertainment,UCQ2O-iftmnlfrBuNsUUTofQ,@15ya_egg,glUljD0SQzM,33280,388,7,7020000
2025-06-01 01:11,Gaming,UCw1DsweY9b2AKGjV4kGJP1A,@LCK,yZ1Opg-Rk6Y,23293,0,31,1530000
